cell_id,Cycle,Q_measured,Q_exp_fit,Q_sqrt_fit
Cell_2,5.0,1.36,1.3784877836951537,1.2814574330201607
Cell_2,6.0,1.341,1.3446028338405245,1.250815082241831
Cell_2,7.0,1.333,1.3117045417735496,1.2226365325442465
Cell_2,8.0,1.276,1.2797641781145452,1.1964085779862113
Cell_2,9.0,1.263,1.2487538500223594,1.171774744503516
Cell_2,10.0,1.223,1.2186464768361462,1.1484754854998087
Cell_2,11.0,1.209,1.1894157664263996,1.1263148642598002
Cell_2,12.0,1.162,1.1610361922345958,1.1051406574461011
Cell_2,13.0,1.136,1.133482970981391,1.0848318098295668
Cell_2,14.0,1.124,1.106732041023911,1.065290170295773
Cell_2,15.0,1.093,1.0807600413432288,1.0464348482534411
Cell_2,16.0,1.063,1.055544291143683,1.0281982412464943
Cell_2,17.0,1.042,1.0310627700462214,1.0105231659890426
Cell_2,18.0,1.01,1.0072940988584709,0.9933607398420263
Cell_2,19.0,0.974,0.984217520904743,0.976668785910285
Cell_2,20.0,0.962,0.9618128838996707,0.96041061176574
Cell_2,21.0,0.947,0.940060622349644,0.9445540600822054
Cell_2,22.0,0.922,0.9189417404666823,0.9290707606575065
Cell_2,23.0,0.898,0.8984377955798138,0.9139355339475451
Cell_2,24.0,0.869,0.8785308820294843,0.8991259102090806
Cell_2,25.0,0.864,0.8592036155309242,0.8846217379894725
Cell_2,26.0,0.825,0.8404391179928227,0.8704048624736094
Cell_2,27.0,0.822,0.8222210027780479,0.856458859031861
Cell_2,28.0,0.803,0.8045333603935462,0.8427688108139118
Cell_2,29.0,0.784,0.7873607445969186,0.8293211218034353
Cell_2,30.0,0.766,0.7706881589075459,0.8161033586587336
Cell_2,31.0,0.751,0.7545010435104808,0.803104116100387
Cell_2,32.0,0.735,0.7387852625416704,0.7903129016978412
Cell_2,33.0,0.722,0.7235270917434069,0.7777200367437486
Cell_2,34.0,0.707,0.7087132064792243,0.7653165705527878
Cell_2,35.0,0.693,0.6943306700977766,0.7530942060275787
Cell_2,36.0,0.68,0.6803669226355351,0.7410452347324508
Cell_2,37.0,0.668,0.666809769848439,0.7291624800315291
Cell_2,38.0,0.653,0.6536473725629207,0.7174392470996755
Cell_2,39.0,0.636,0.640868236337008,0.7058692788174393
Cell_2,40.0,0.623,0.6284612014224703,0.6944467167250363
Cell_2,41.0,0.605,0.6164154330192495,0.6831660663436889
Cell_2,42.0,0.604,0.604720411813658,0.6720221662817116
Cell_2,43.0,0.59,0.5933659247920857,0.6610101606324152
Cell_2,44.0,0.575,0.5823420563221925,0.650125474245019
Cell_2,45.0,0.561,0.5716391794937968,0.6393637905113194
Cell_2,46.0,0.559,0.5612479477118996,0.6287210313621999
Cell_2,47.0,0.541,0.5511592865345011,0.6181933392110847
Cell_2,48.0,0.541,0.5413643857480842,0.607777060617621
Cell_2,49.0,0.534,0.5318546916738414,0.597468731475429
Cell_2,50.0,0.523,0.5226218996979287,0.587265063553656
Cell_2,51.0,0.512,0.5136579470192236,0.577162932244111
Cell_2,52.0,0.495,0.5049550056082509,0.5671593653845526
Cell_2,53.0,0.488,0.496505475371132,0.5572515330448207
Cell_2,54.0,0.495,0.48830197751258353,0.5474367381763301
Cell_2,55.0,0.487,0.48033734809217254,0.537712408037371
Cell_2,56.0,0.47,0.47260463176819933,0.5280760863169647
Cell_2,57.0,0.469,0.4650970757237457,0.5185254258889556
Cell_2,58.0,0.46,0.4578081237695825,0.5090581821357731
Cell_2,59.0,0.458,0.45073141061878985,0.49967220678806523
Cell_2,60.0,0.447,0.4438607563280863,0.49036544223230094
Cell_2,61.0,0.431,0.43719016090101653,0.4811359162436164
Cell_2,62.0,0.429,0.43071379904828133,0.47198173710570956
Cell_2,63.0,0.426,0.4244260151006361,0.46290108908357697
Cell_2,64.0,0.422,0.4183213180699157,0.45389222821840725
Cell_2,65.0,0.412,0.41239437685387026,0.4449534784170457
Cell_2,66.0,0.411,0.40664001558062735,0.43608322781119635
Cell_2,67.0,0.409,0.401053209088713,0.4272799253639643
Cell_2,68.0,0.406,0.3956290785386848,0.4185420777035038
Cell_2,69.0,0.398,0.39036288715254497,0.4098682461654697
Cell_2,70.0,0.387,0.38525003607721287,0.40125704402768525
Cell_2,71.0,0.385,0.38028606036844426,0.39270713392197254
Cell_2,72.0,0.381,0.3754666250916904,0.38421722540947134
Cell_2,73.0,0.372,0.3707875215364914,0.3757860727069928
Cell_2,74.0,0.367,0.3662446635410995,0.36741247255307496
Cell_2,75.0,0.366,0.3618340839241202,0.3590952622033807
Cell_2,76.0,0.36,0.3575519310200571,0.3508333175459888
Cell_2,77.0,0.354,0.3533944653157346,0.3426255513279264
Cell_2,78.0,0.351,0.34935805618465987,0.3344709114850237
Cell_2,79.0,0.349,0.34543917871647434,0.32636837956782716
Cell_2,80.0,0.343,0.3416344106387244,0.3183169692568988
Cell_2,81.0,0.339,0.337940429328263,0.3103157249613855
Cell_2,82.0,0.337,0.33435400890967404,0.3023637204952081
Cell_2,83.0,0.331,0.33087201743818356,0.2944600578256895
Cell_2,84.0,0.329,0.3274914141645989,0.28660386588982956
Cell_2,85.0,0.328,0.3242092468798873,0.2787942994738122
Cell_2,86.0,0.317,0.32102264933707403,0.2710305381516651
Cell_2,87.0,0.322,0.3179288387482101,0.26331178527929855
Cell_2,88.0,0.309,0.31492511335422246,0.25563726704043166
Cell_2,89.0,0.313,0.3120088500655256,0.24800623154117463
Cell_2,90.0,0.309,0.3091775021713323,0.24041794795026394
Cell_2,91.0,0.307,0.30642859711566606,0.23287170568217297
Cell_2,92.0,0.304,0.30375973433813025,0.22536681362050892
Cell_2,93.0,0.302,0.3011685831775492,0.217902599379296
Cell_2,94.0,0.299,0.298652880836652,0.21047840859991251
Cell_2,95.0,0.297,0.29621043040601924,0.20309360428159606
Cell_2,96.0,0.296,0.2938390989455688,0.1957475661435799
Cell_2,97.0,0.289,0.29153681562190487,0.18843969001705885
Cell_2,98.0,0.281,0.2893015698999026,0.1811693872652862
Cell_2,99.0,0.269,0.2871314097869508,0.17393608423023776
